quarter,landed,non_landed
1975Q1,7.4,10.5
1975Q2,7.7,11.2
1975Q3,7.8,11.5
1975Q4,7.9,11.5
1976Q1,7.9,11.5
1976Q2,8,11.7
1976Q3,8,11.7
1976Q4,8,11.5
1977Q1,7.9,11.5
1977Q2,7.9,11.5
1977Q3,7.7,11.5
1977Q4,7.6,11.5
1978Q1,7.5,11.5
1978Q2,7.6,11.7
1978Q3,7.9,11.7
1978Q4,7.9,12.1
1979Q1,8.4,12.7
1979Q2,9,13.3
1979Q3,9.8,14.6
1979Q4,10.6,15.8
1980Q1,12.3,18.9
1980Q2,14.3,22
1980Q3,16.2,25.8
1980Q4,18.7,31
1981Q1,23.7,39.6
1981Q2,27.3,44.3
1981Q3,27.4,43.1
1981Q4,26.4,40
1982Q1,27,38.7
1982Q2,28.2,39
1982Q3,29.2,38.7
1982Q4,30.6,39.6
1983Q1,32.6,40.6
1983Q2,34,41.2
1983Q3,35.4,40.6
1983Q4,35.5,39.6
1984Q1,36.9,38.1
1984Q2,36.2,35.4
1984Q3,35.8,33.7
1984Q4,33.4,33.1
1985Q1,31.8,30.9
1985Q2,29.7,31.3
1985Q3,28.2,29.9
1985Q4,28.1,28.5
1986Q1,26.1,26.5
1986Q2,24.5,23.5
1986Q3,26,24.8
1986Q4,29.6,26.5
1987Q1,30.4,26.8
1987Q2,31.4,28.3
1987Q3,33.6,31
1987Q4,32.6,31.4
1988Q1,32.6,30.7
1988Q2,33.3,31.6
1988Q3,33,32.6
1988Q4,34,34.4
1989Q1,34,35.2
1989Q2,35,36.4
1989Q3,36.9,38.7
1989Q4,37.4,39.4
1990Q1,40.3,41.6
1990Q2,40.6,43.1
1990Q3,41.5,42.7
1990Q4,39,41.8
1991Q1,41.8,42.8
1991Q2,44.8,46.7
1991Q3,46.5,47.5
1991Q4,48.1,47.7
1992Q1,50.5,49.9
1992Q2,51.3,52.7
1992Q3,52.7,55.2
1992Q4,54.7,56.3
1993Q1,60.4,57.2
1993Q2,69.8,61.6
1993Q3,79.4,65.4
1993Q4,84.5,68.5
1994Q1,95.2,72.7
1994Q2,107.6,83.4
1994Q3,125.8,88.7
1994Q4,126.7,92.3
1995Q1,129.6,95.2
1995Q2,130.5,96.8
1995Q3,133.2,97.7
1995Q4,135.1,105.5
1996Q1,138.4,110.8
1996Q2,140.9,122.2
1996Q3,137.8,119.9
1996Q4,131.7,118.8
1997Q1,129.9,111.9
1997Q2,128.9,110.9
1997Q3,123.2,106.2
1997Q4,116.8,102.9
1998Q1,106.3,93
1998Q2,97.2,85.4
1998Q3,81.3,76.8
1998Q4,72.8,71.2
1999Q1,76.5,75.2
1999Q2,87,83.5
1999Q3,93.8,90.4
1999Q4,98.8,95.1
2000Q1,100.7,98.5
2000Q2,101,100.4
2000Q3,98.5,97.7
2000Q4,97.2,94.2
2001Q1,94.4,90
2001Q2,92,89.8
2001Q3,88.9,87.3
2001Q4,87,82.7
2002Q1,85.4,82
2002Q2,85,81.4
2002Q3,85.4,81.6
2002Q4,85.1,81.3
2003Q1,84.4,80.6
2003Q2,83.8,80.2
2003Q3,83.2,79.9
2003Q4,83.1,79.9
2004Q1,82.7,79.6
2004Q2,83,79.6
2004Q3,83.3,79.9
2004Q4,83.6,80.8
2005Q1,84,81.4
2005Q2,84.1,81.9
2005Q3,84.8,83.1
2005Q4,85.6,84.4
2006Q1,86.8,85.7
2006Q2,88.2,87.2
2006Q3,89.2,90
2006Q4,91.3,93.8
2007Q1,94,98.8
2007Q2,100.6,107.1
2007Q3,108.1,116
2007Q4,112.7,124.4
2008Q1,117.1,129
2008Q2,117.8,129
2008Q3,115.7,125.8
2008Q4,110.1,117.8
2009Q1,100,100
2009Q2,95.3,95.3
2009Q3,109.5,110.5
2009Q4,118.6,118.4
2010Q1,128.4,124.3
2010Q2,136.4,130.5
2010Q3,147,132.6
2010Q4,155.1,135
2011Q1,161.1,137.3
2011Q2,166.9,139.2
2011Q3,170.8,140.8
2011Q4,171,141.2
2012Q1,171.2,141
2012Q2,171.9,141.6
2012Q3,173.9,142.3
2012Q4,177,144.8
2013Q1,177.8,145.9
2013Q2,178.4,148
2013Q3,178.9,148.9
2013Q4,177.1,147.6
2014Q1,175.9,145.7
2014Q2,172.9,144.5
2014Q3,169.8,143.9
2014Q4,167.6,142.5
2015Q1,166.1,140.9
2015Q2,164.4,139.8
2015Q3,163.7,137.7
2015Q4,160.8,137.4
2016Q1,159,136.6
2016Q2,156.6,136.5
2016Q3,152.4,134.9
2016Q4,153.6,133.8
2017Q1,150.8,133.8
2017Q2,150.3,133.7
2017Q3,152.1,134.5
2017Q4,152.9,135.6
2018Q1,155.8,141.6
2018Q2,162.2,146.1
2018Q3,165.9,146.1
2018Q4,162.6,146.8
2019Q1,164.4,145.2
2019Q2,164.2,148.1
2019Q3,165.8,150
2019Q4,171.8,149.6
2020Q1,170.3,148.1
